Wavelet,thresholding_mse,1level_approximation_mse,2level_approximation_mse
haar,93.92249679568435,187.575,369.67398
db2,75.00937201579943,154.73413,321.39795
db4,73.42682130698742,143.85449,291.43588
sym2,75.00937201582454,154.73413,321.39795
sym4,73.87142744563309,144.20981,290.95895
coif1,81.01919221741211,155.98293,306.48248
coif3,71.60565612278111,140.49577,287.22757
bior1.3,98.4944717783221,193.82198,383.7078
bior2.2,74.38699014718287,150.9787,300.18442
bior3.1,91.53194184904245,170.45099,379.2418
